corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.2457627118644068,2.431033134460449,0.18247780710225925,0.907469630241394,118
gauss,0.2,0.15254237288135594,2.658996343612671,0.20227847574278712,0.9736347794532776,118
gauss,0.3,0.1440677966101695,2.836732864379883,0.32092533400282264,1.0450621843338013,118
jpeg,90,0.6271186440677966,1.1064212322235107,0.13448587188031524,0.498568058013916,118
jpeg,70,0.6101694915254238,1.23845374584198,0.09825037885457277,0.5610410571098328,118
jpeg,50,0.5169491525423728,1.4455687999725342,0.09368501047720201,0.6372972130775452,118
contrast,0.8,0.6694915254237288,1.0338733196258545,0.11411268793744966,0.46292269229888916,118
contrast,0.6,0.6440677966101694,1.1051214933395386,0.035985635811812244,0.4933006167411804,118
