,precision,recall,f1-score,support
AK,0.16101694915254236,1.0,0.2773722627737226,19.0
BCC,0.0,0.0,0.0,16.0
BKL,0.0,0.0,0.0,16.0
DF,0.0,0.0,0.0,16.0
MEL,0.0,0.0,0.0,16.0
NV,0.0,0.0,0.0,16.0
SCC,0.0,0.0,0.0,3.0
VASC,0.0,0.0,0.0,16.0
accuracy,0.16101694915254236,0.16101694915254236,0.16101694915254236,0.16101694915254236
macro avg,0.020127118644067795,0.125,0.03467153284671533,118.0
weighted avg,0.025926457914392416,0.16101694915254236,0.04466163553136211,118.0
