,precision,recall,f1-score,support
AK,0.0,0.0,0.0,19.0
BCC,0.0,0.0,0.0,16.0
BKL,0.0,0.0,0.0,16.0
DF,0.13559322033898305,1.0,0.23880597014925373,16.0
MEL,0.0,0.0,0.0,16.0
NV,0.0,0.0,0.0,16.0
SCC,0.0,0.0,0.0,3.0
VASC,0.0,0.0,0.0,16.0
accuracy,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305
macro avg,0.01694915254237288,0.125,0.029850746268656716,118.0
weighted avg,0.018385521401896008,0.13559322033898305,0.03238047052871237,118.0
