corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.11016949152542373,2.7722203731536865,0.38895520294317976,1.0882751941680908,118
gauss,0.2,0.1440677966101695,2.2446815967559814,0.04558722046203911,0.8964561223983765,118
gauss,0.3,0.1016949152542373,2.2049267292022705,0.06084457039833069,0.8909273743629456,118
jpeg,90,0.6186440677966102,1.3687677383422852,0.15071850805543363,0.5824805498123169,118
jpeg,70,0.559322033898305,1.3773075342178345,0.17960470612160861,0.6124531626701355,118
jpeg,50,0.5677966101694916,1.3731824159622192,0.14699457515962422,0.6068611145019531,118
contrast,0.8,0.6779661016949152,1.2546552419662476,0.10597374505596235,0.5152512788772583,118
contrast,0.6,0.6694915254237288,1.299121379852295,0.14832762716105208,0.5271326303482056,118
