class,precision,recall,f1,support
CNV,0.9746921098930843,0.9634782608695652,0.9690527448869752,7475
DME,0.9578900709219859,0.9322691975841243,0.944905990380411,2318
DRUSEN,0.8747865680136596,0.8737919272313814,0.8742889647326506,1759
NORMAL,0.9638465773536429,0.9911304019626345,0.97729810197246,5299
