epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.715357672961119,0.5892857142857143,1.2417676448822021,44.31127214431763,0.8,2.0,0.0
1,1.1023239952163129,0.6205357142857143,1.0939335482461112,40.121084690093994,0.8,2.0,0.0
2,0.9065464436860001,0.6428571428571429,1.0070693833487374,40.620232820510864,0.8,2.0,0.0
3,0.7841495410975984,0.6875,0.8480048945971898,40.564969539642334,0.8,2.0,0.0
4,0.6979562620667015,0.6785714285714286,0.8645775829042707,40.60269808769226,0.8,2.0,0.0
5,0.638304322736139,0.6651785714285714,0.9157828092575073,41.38609457015991,0.8,2.0,0.0
6,0.584760860799264,0.7008928571428571,0.7755447966711861,39.828625202178955,0.8,2.0,0.0
7,0.544497705925783,0.71875,0.7822741184915815,40.73606753349304,0.8,2.0,0.0
8,0.524778002367422,0.65625,0.8512599638530186,40.65441036224365,0.8,2.0,0.0
9,0.4824099179680827,0.71875,0.795414652143206,41.065102100372314,0.8,2.0,0.0
10,0.4416958812596484,0.6830357142857143,0.7968657868249076,41.45180630683899,0.8,2.0,0.0
11,0.41229443288322715,0.6830357142857143,0.7591010843004499,41.16032099723816,0.8,2.0,0.0
12,0.3988240172194488,0.6651785714285714,0.7835839135306222,40.19610142707825,0.8,2.0,0.0
13,0.38135999124635833,0.71875,0.7901761361530849,39.713671922683716,0.8,2.0,0.0
14,0.35113803797560944,0.6696428571428571,0.8120012283325195,40.18785905838013,0.8,2.0,0.0
15,0.37032246314562284,0.6741071428571429,0.7718045541218349,40.71729874610901,0.8,2.0,0.0
16,0.34157048061527034,0.6964285714285714,0.7696364096232823,40.60140085220337,0.8,2.0,0.0
17,0.33677867439485365,0.6696428571428571,0.8395782198224749,40.44997787475586,0.8,2.0,0.0
18,0.3174252287625675,0.6696428571428571,0.8400536775588989,40.69360685348511,0.8,2.0,0.0
19,0.3092949736207058,0.65625,0.8151736429759434,40.63603162765503,0.8,2.0,0.0
20,0.3053228777632228,0.6875,0.7802070379257202,40.18510055541992,0.8,2.0,0.0
21,0.2994621229526719,0.7008928571428571,0.798317185470036,40.626651763916016,0.8,2.0,0.0
22,0.2987303857767848,0.7008928571428571,0.8030607615198407,40.10145878791809,0.8,2.0,0.0
23,0.2862128349303016,0.6919642857142857,0.781057494027274,40.47190618515015,0.8,2.0,0.0
24,0.28671412885041153,0.6830357142857143,0.8150885786328997,41.02893924713135,0.8,2.0,0.0
25,0.27962627002678203,0.6875,0.8116300361497062,39.96185350418091,0.8,2.0,0.0
26,0.2800953697330011,0.6919642857142857,0.8177863529750279,40.33804655075073,0.8,2.0,0.0
27,0.2786000661755318,0.7098214285714286,0.8236192635127476,40.55568265914917,0.8,2.0,0.0
28,0.2750983376361004,0.6875,0.8276811156954084,39.81102657318115,0.8,2.0,0.0
29,0.27743562144913686,0.6830357142857143,0.8233014174870082,39.8065402507782,0.8,2.0,0.0
