,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,66.0
bcc,0.051371571072319204,1.0,0.09772296015180265,103.0
bkl,0.0,0.0,0.0,220.0
df,0.0,0.0,0.0,23.0
mel,0.0,0.0,0.0,223.0
nv,0.0,0.0,0.0,1341.0
vasc,0.0,0.0,0.0,29.0
accuracy,0.051371571072319204,0.051371571072319204,0.051371571072319204,0.051371571072319204
macro avg,0.007338795867474172,0.14285714285714285,0.01396042287882895,2005.0
weighted avg,0.0026390383144383432,0.051371571072319204,0.005020181992835747,2005.0
