arch,batch,device,lat_ms_p50,lat_ms_p05,lat_ms_p95,peak_cuda_mib
resnet18,1,cpu,20.2760499996657,19.825284998842108,21.295965000354045,0.0
resnet18,2,cpu,29.85975000046892,29.098005001378624,30.499414998939756,0.0
resnet18,4,cpu,46.84284999984811,45.91201500106763,47.990584999479324,0.0
