corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.3305084745762712,2.1779329776763916,0.20096525800181553,0.8627699613571167,118
gauss,0.2,0.22033898305084745,2.4307146072387695,0.08183745050337166,0.9216540455818176,118
gauss,0.3,0.03389830508474576,2.6218769550323486,0.21537763462401927,0.9734392166137695,118
jpeg,90,0.6779661016949152,1.085252285003662,0.1744945520767942,0.48578500747680664,118
jpeg,70,0.6779661016949152,1.1352020502090454,0.12714878178667277,0.5032572150230408,118
jpeg,50,0.6610169491525424,1.1713879108428955,0.1513426659803372,0.5102562308311462,118
contrast,0.8,0.6779661016949152,1.0850236415863037,0.08977407217025757,0.47197508811950684,118
contrast,0.6,0.6101694915254238,1.1929030418395996,0.06432068668073043,0.5146995782852173,118
