arch,batch,device,lat_ms_p50,lat_ms_p05,lat_ms_p95,peak_cuda_mib
resnet18,1,cuda,2.4366079568862915,1.9105280041694641,2.494515120983124,79.53857421875
resnet18,2,cuda,2.2502399682998657,2.2404095053672792,2.3030368447303773,80.54931640625
resnet18,4,cuda,3.4641919136047363,3.4211840629577637,3.530956745147705,83.46923828125
resnet18,8,cuda,5.451776027679443,5.418946981430054,5.504204988479614,86.55908203125
