model,accuracy_mean,accuracy_lo,accuracy_hi,macro_f1_mean,macro_f1_lo,macro_f1_hi
distilled_efficientnetb0_ham10000,0.810379241516966,0.7929016966067864,0.8273453093812375,0.6557557597068773,0.6143198532359181,0.6924848902971202
distilled_mobilenetv2_ham10000,0.7839321357285429,0.7659680638722555,0.8023952095808383,0.5410765632639023,0.5098655666558318,0.5691133356818394
distilled_resnet18_ham10000,0.8517964071856288,0.8363273453093812,0.8672779441117764,0.7545325524585199,0.7153264067221303,0.786634769600519
