ts,cpu_pct,ram_used_gb,ram_total_gb,ram_pct,proc_mem_gb,proc_mem_pct,gpu_index,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2025-11-11 19:22:30,47.0,4.210758209228516,31.350486755371094,13.4,2.5542755126953125,8.147482789107583,0,0,8652.875,16384.0
2025-11-11 19:22:31,30.0,4.2323455810546875,31.350486755371094,13.5,2.5543136596679688,8.14760446815185,0,0,8652.875,16384.0
2025-11-11 19:22:46,56.3,4.246101379394531,31.350486755371094,13.5,2.554279327392578,8.147494957012011,0,96,8652.875,16384.0
2025-11-11 19:23:03,54.4,4.25299072265625,31.350486755371094,13.6,2.554279327392578,8.147494957012011,0,0,8652.875,16384.0
2025-11-11 19:23:05,29.9,4.2736663818359375,31.350486755371094,13.6,2.554370880126953,8.147786986718247,0,0,8652.875,16384.0
2025-11-11 19:23:21,52.1,4.227119445800781,31.350486755371094,13.5,2.554309844970703,8.147592300247423,0,97,8652.875,16384.0
2025-11-11 19:23:38,52.8,4.256752014160156,31.350486755371094,13.6,2.554370880126953,8.147786986718247,0,0,8652.875,16384.0
2025-11-11 19:23:39,29.6,4.259807586669922,31.350486755371094,13.6,2.554401397705078,8.147884329953657,0,0,8652.875,16384.0
2025-11-11 19:23:54,55.4,4.250579833984375,31.350486755371094,13.6,2.554401397705078,8.147884329953657,0,97,8652.875,16384.0
2025-11-11 19:24:16,40.6,4.264690399169922,31.350486755371094,13.6,2.554401397705078,8.147884329953657,0,0,8652.875,16384.0
2025-11-11 19:24:17,29.7,4.293403625488281,31.350486755371094,13.7,2.563629150390625,8.177318490761275,0,0,8652.875,16384.0
2025-11-11 19:24:36,44.5,4.250141143798828,31.350486755371094,13.6,2.563629150390625,8.177318490761275,0,98,8652.875,16384.0
2025-11-11 19:24:53,53.8,4.280735015869141,31.350486755371094,13.7,2.563629150390625,8.177318490761275,0,0,8652.875,16384.0
2025-11-11 19:24:55,29.9,4.276557922363281,31.350486755371094,13.6,2.57330322265625,8.208176296386789,0,0,8652.875,16384.0
2025-11-11 19:25:10,54.3,4.291961669921875,31.350486755371094,13.7,2.57330322265625,8.208176296386789,0,32,8652.875,16384.0
2025-11-11 19:25:27,54.6,4.274574279785156,31.350486755371094,13.6,2.57330322265625,8.208176296386789,0,0,8652.875,16384.0
2025-11-11 19:25:29,28.7,4.363037109375,31.350486755371094,13.9,2.5543556213378906,8.14773831510054,0,0,8652.875,16384.0
2025-11-11 19:25:44,55.5,4.3933258056640625,31.350486755371094,14.0,2.5543556213378906,8.14773831510054,0,97,8652.875,16384.0
2025-11-11 19:26:02,53.2,4.357368469238281,31.350486755371094,13.9,2.5543556213378906,8.14773831510054,0,0,8652.875,16384.0
2025-11-11 19:26:03,30.2,4.351226806640625,31.350486755371094,13.9,2.5544586181640625,8.148066848520054,0,0,8652.875,16384.0
2025-11-11 19:26:18,54.9,4.383575439453125,31.350486755371094,14.0,2.5544586181640625,8.148066848520054,0,98,8652.875,16384.0
2025-11-11 19:26:35,54.9,4.379581451416016,31.350486755371094,14.0,2.5544586181640625,8.148066848520054,0,0,8652.875,16384.0
2025-11-11 19:26:37,29.7,4.367256164550781,31.350486755371094,13.9,2.5544090270996094,8.14790866576251,0,0,8652.875,16384.0
2025-11-11 19:26:52,55.6,4.3792572021484375,31.350486755371094,14.0,2.5544090270996094,8.14790866576251,0,95,8652.875,16384.0
2025-11-11 19:27:10,53.2,4.409740447998047,31.350486755371094,14.1,2.5544090270996094,8.14790866576251,0,0,8652.875,16384.0
2025-11-11 19:27:11,29.6,4.408626556396484,31.350486755371094,14.1,2.5635833740234375,8.177172475908158,0,0,8652.875,16384.0
2025-11-11 19:27:27,53.9,4.36456298828125,31.350486755371094,13.9,2.5635833740234375,8.177172475908158,0,97,8652.875,16384.0
2025-11-11 19:27:44,53.8,4.361015319824219,31.350486755371094,13.9,2.5635833740234375,8.177172475908158,0,0,8652.875,16384.0
2025-11-11 19:27:45,29.8,4.3704986572265625,31.350486755371094,13.9,2.5733604431152344,8.208358814953186,0,0,8652.875,16384.0
2025-11-11 19:28:01,54.1,4.387897491455078,31.350486755371094,14.0,2.5733604431152344,8.208358814953186,0,50,8652.875,16384.0
2025-11-11 19:28:18,54.6,4.388580322265625,31.350486755371094,14.0,2.5733604431152344,8.208358814953186,0,0,8652.875,16384.0
2025-11-11 19:28:19,29.1,4.369037628173828,31.350486755371094,13.9,2.5551719665527344,8.150342246647803,0,0,8652.875,16384.0
2025-11-11 19:28:35,54.9,4.360877990722656,31.350486755371094,13.9,2.555095672607422,8.150098888559274,0,99,8652.875,16384.0
2025-11-11 19:28:53,54.6,4.424430847167969,31.350486755371094,14.1,2.5551719665527344,8.150342246647803,0,0,8652.875,16384.0
2025-11-11 19:28:54,29.5,4.399688720703125,31.350486755371094,14.0,2.5552139282226562,8.150476093596493,0,0,8652.875,16384.0
2025-11-11 19:29:09,54.7,4.392826080322266,31.350486755371094,14.0,2.5552139282226562,8.150476093596493,0,98,8652.875,16384.0
2025-11-11 19:29:27,53.2,4.401470184326172,31.350486755371094,14.0,2.5552139282226562,8.150476093596493,0,0,8652.875,16384.0
2025-11-11 19:29:29,29.7,4.403316497802734,31.350486755371094,14.0,2.5551986694335938,8.150427421978788,0,0,8652.875,16384.0
2025-11-11 19:29:44,56.0,4.369438171386719,31.350486755371094,13.9,2.5551986694335938,8.150427421978788,0,81,8652.875,16384.0
2025-11-11 19:30:02,54.5,4.402034759521484,31.350486755371094,14.0,2.5551986694335938,8.150427421978788,0,0,8652.875,16384.0
