ts,cpu_pct,ram_used_gb,ram_total_gb,ram_pct,proc_mem_gb,proc_mem_pct,gpu_index,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2025-11-01 22:04:18,14.7,13.182693481445312,15.628288269042969,84.4,5.625583648681641,35.99615998781506,,,,
2025-11-01 22:04:20,15.7,10.97336196899414,15.628288269042969,70.2,5.656337738037109,36.19294474649134,,,,
2025-11-01 22:04:59,12.9,13.262176513671875,15.628288269042969,84.9,5.70062255859375,36.47630796448599,,,,
2025-11-01 22:05:01,16.7,11.011215209960938,15.628288269042969,70.5,5.711830139160156,36.548021388077025,,,,
2025-11-01 22:05:40,12.2,13.32131576538086,15.628288269042969,85.2,5.714385986328125,36.564375368269666,,,,
2025-11-01 22:05:42,15.4,11.137493133544922,15.628288269042969,71.3,5.8389892578125,37.3616685160496,,,,
2025-11-01 22:06:22,12.5,13.403789520263672,15.628288269042969,85.8,5.840553283691406,37.37167617557047,,,,
2025-11-01 22:06:23,17.4,11.21518325805664,15.628288269042969,71.8,5.849437713623047,37.42852456343416,,,,
2025-11-01 22:07:03,12.4,13.41427230834961,15.628288269042969,85.8,5.849693298339844,37.43015996145343,,,,
2025-11-01 22:07:05,17.0,11.255741119384766,15.628288269042969,72.0,5.859790802001953,37.4947703876772,,,,
2025-11-01 22:07:45,12.5,13.468833923339844,15.628288269042969,86.2,5.860942840576172,37.50214188322673,,,,
2025-11-01 22:07:46,18.1,11.289234161376953,15.628288269042969,72.2,5.8699951171875,37.560064263819484,,,,
2025-11-01 22:08:25,12.1,13.50680923461914,15.628288269042969,86.4,5.870140075683594,37.560991802994586,,,,
2025-11-01 22:08:27,16.9,11.24114990234375,15.628288269042969,71.9,5.8802032470703125,37.625382548887416,,,,
2025-11-01 22:09:07,12.6,13.53616714477539,15.628288269042969,86.6,5.881782531738281,37.63548784411093,,,,
2025-11-01 22:09:09,17.5,11.239768981933594,15.628288269042969,71.9,5.839790344238281,37.36679439043834,,,,
