arch,batch,device,lat_ms_p50,lat_ms_p05,lat_ms_p95,peak_cuda_mib
efficientnet_b0,1,cpu,31.402099994011223,29.40689007518813,35.37342984927818,0.0
efficientnet_b0,2,cpu,51.3003000523895,44.27435521502048,66.81941011920571,0.0
efficientnet_b0,4,cpu,67.28654995094985,55.85018501151353,82.68178483704105,0.0
