corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.25206611570247933,2.5059213638305664,0.5183447152376175,1.1555655002593994,968
gauss,0.2,0.2427685950413223,12.550004005432129,0.7093548334669322,1.4545663595199585,968
gauss,0.3,0.25,19.31465721130371,0.07227116078138351,1.4999206066131592,968
jpeg,90,0.9979338842975206,0.008691152557730675,0.005277359989122488,0.003806118154898286,968
jpeg,70,1.0,0.007828649133443832,0.006834453699411824,0.003008022205904126,968
jpeg,50,0.9979338842975206,0.009806864894926548,0.005436353869299637,0.004541222006082535,968
contrast,0.8,0.996900826446281,0.008749693632125854,0.007307887775823474,0.0037446345668286085,968
contrast,0.6,0.9958677685950413,0.013345098122954369,0.006555376923643053,0.006317042279988527,968
