corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.9886363636363636,0.020509695634245872,0.009223303233738989,0.01238278765231371,968
gauss,0.2,0.8553719008264463,0.5630366206169128,0.09545958426315337,0.23653022944927216,968
gauss,0.3,0.38739669421487605,3.49955677986145,0.5383600054774433,1.1122140884399414,968
jpeg,90,0.9958677685950413,0.008507931604981422,0.004811500781215727,0.004460690077394247,968
jpeg,70,0.9989669421487604,0.007307873107492924,0.005087549507152289,0.003237555967643857,968
jpeg,50,0.9979338842975206,0.008570220321416855,0.0041904219333446235,0.0039603556506335735,968
contrast,0.8,0.9989669421487604,0.009419397450983524,0.0048839933588169515,0.004008274991065264,968
contrast,0.6,0.9917355371900827,0.02197844907641411,0.0026148353681492154,0.012366424314677715,968
