class,precision,recall,f1,support
akiec,0.1134020618556701,0.6666666666666666,0.1938325991189427,33
bcc,0.5,0.43137254901960786,0.4631578947368421,51
bkl,0.5,0.22727272727272727,0.3125,110
df,0.0,0.0,0.0,12
mel,0.5531914893617021,0.23423423423423423,0.32911392405063294,111
nv,0.8605697151424287,0.8554396423248882,0.8579970104633782,671
vasc,0.0,0.0,0.0,14
