class,precision,recall,f1,support
akiec,0.168141592920354,0.5757575757575758,0.26027397260273977,33
bcc,0.6222222222222222,0.5490196078431373,0.5833333333333334,51
bkl,0.5256410256410257,0.37272727272727274,0.43617021276595747,110
df,0.0,0.0,0.0,12
mel,0.5753424657534246,0.3783783783783784,0.4565217391304348,111
nv,0.8903703703703704,0.8956780923994039,0.8930163447251115,671
vasc,0.6111111111111112,0.7857142857142857,0.6875000000000001,14
