class,precision,recall,f1,support
akiec,0.11961722488038277,0.7575757575757576,0.2066115702479339,33
bcc,0.8421052631578947,0.3137254901960784,0.45714285714285713,51
bkl,0.5205479452054794,0.34545454545454546,0.4153005464480874,110
df,0.0,0.0,0.0,12
mel,0.631578947368421,0.32432432432432434,0.42857142857142855,111
nv,0.9047619047619048,0.849478390461997,0.8762490392006149,671
vasc,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
