corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.1271186440677966,2.508427858352661,0.19969429960474372,0.9686231017112732,118
gauss,0.2,0.1271186440677966,2.423593044281006,0.18622499518096447,0.9512519240379333,118
gauss,0.3,0.1271186440677966,2.401170492172241,0.16418547532521188,0.9465412497520447,118
jpeg,90,0.635593220338983,1.2077884674072266,0.10512814542744309,0.532127320766449,118
jpeg,70,0.5932203389830508,1.2627259492874146,0.1171485669183312,0.5606419444084167,118
jpeg,50,0.5932203389830508,1.3008471727371216,0.0618196283976431,0.5779395699501038,118
contrast,0.8,0.6694915254237288,1.1524124145507812,0.09729269111994654,0.4973372519016266,118
contrast,0.6,0.652542372881356,1.206674575805664,0.09625457297079265,0.520026445388794,118
