ts,cpu_pct,ram_used_gb,ram_total_gb,ram_pct,proc_mem_gb,proc_mem_pct,gpu_index,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
2025-11-02 01:41:39,15.6,13.31283950805664,15.628288269042969,85.2,5.67486572265625,36.311498898425185,,,,
2025-11-02 01:41:41,16.8,11.129653930664062,15.628288269042969,71.2,5.704902648925781,36.50369477907726,,,,
2025-11-02 01:42:19,12.5,13.355831146240234,15.628288269042969,85.5,5.784526824951172,37.0131822843923,,,,
2025-11-02 01:42:21,16.1,11.15106201171875,15.628288269042969,71.4,5.794700622558594,37.07828088912929,,,,
2025-11-02 01:43:00,12.4,13.405349731445312,15.628288269042969,85.8,5.7969818115234375,37.09287742667436,,,,
2025-11-02 01:43:02,17.3,11.130645751953125,15.628288269042969,71.2,5.806114196777344,37.151312394706,,,,
2025-11-02 01:43:40,12.4,13.373287200927734,15.628288269042969,85.6,5.806610107421875,37.15448555504188,,,,
2025-11-02 01:43:42,14.0,11.090980529785156,15.628288269042969,71.0,5.7662200927734375,36.89604385014677,,,,
2025-11-02 01:44:21,12.2,13.327045440673828,15.628288269042969,85.3,5.766395568847656,36.89716666072716,,,,
2025-11-02 01:44:23,18.4,11.108108520507812,15.628288269042969,71.1,5.776576995849609,36.962314083315476,,,,
2025-11-02 01:45:02,12.6,13.343727111816406,15.628288269042969,85.4,5.776798248291016,36.963729801003794,,,,
2025-11-02 01:45:04,16.1,11.144554138183594,15.628288269042969,71.3,5.7868499755859375,37.02804732011965,,,,
2025-11-02 01:45:42,12.6,13.444648742675781,15.628288269042969,86.0,5.787075042724609,37.029487446733626,,,,
2025-11-02 01:45:44,17.9,11.306205749511719,15.628288269042969,72.3,5.79730224609375,37.09492777642986,,,,
2025-11-02 01:46:23,12.8,13.497222900390625,15.628288269042969,86.4,5.797481536865234,37.096074995935915,,,,
2025-11-02 01:46:25,16.6,11.319183349609375,15.628288269042969,72.4,5.807670593261719,37.16127123637555,,,,
2025-11-02 01:47:04,12.7,13.495918273925781,15.628288269042969,86.4,5.807792663574219,37.16205232199669,,,,
2025-11-02 01:47:06,16.5,11.284908294677734,15.628288269042969,72.2,5.772300720214844,36.93495167764987,,,,
2025-11-02 01:47:45,12.0,13.42068099975586,15.628288269042969,85.9,5.772438049316406,36.93583039897365,,,,
2025-11-02 01:47:47,17.4,11.293132781982422,15.628288269042969,72.3,5.782695770263672,37.001466000075176,,,,
2025-11-02 01:48:26,11.9,13.459156036376953,15.628288269042969,86.1,5.783138275146484,37.00429743545182,,,,
2025-11-02 01:48:28,16.1,11.312580108642578,15.628288269042969,72.4,5.7931976318359375,37.06866377241899,,,,
2025-11-02 01:49:07,12.2,13.474681854248047,15.628288269042969,86.2,5.793315887451172,37.06942044911447,,,,
2025-11-02 01:49:09,17.0,11.318206787109375,15.628288269042969,72.4,5.803382873535156,37.133835603932965,,,,
2025-11-02 01:49:48,12.6,13.484046936035156,15.628288269042969,86.3,5.803615570068359,37.135324548398266,,,,
2025-11-02 01:49:50,15.5,11.291938781738281,15.628288269042969,72.3,5.813850402832031,37.200813695945826,,,,
2025-11-02 01:50:27,12.4,13.5750732421875,15.628288269042969,86.9,5.814262390136719,37.20344985991718,,,,
2025-11-02 01:50:29,17.1,11.308967590332031,15.628288269042969,72.4,5.773777008056641,36.944397931880545,,,,
2025-11-02 01:51:08,12.4,13.490543365478516,15.628288269042969,86.3,5.7741546630859375,36.946814415520954,,,,
2025-11-02 01:51:09,17.0,11.322555541992188,15.628288269042969,72.4,5.784233093261719,37.01130279711643,,,,
2025-11-02 01:51:48,12.8,13.49505615234375,15.628288269042969,86.4,5.784343719482422,37.01201065596059,,,,
2025-11-02 01:51:50,16.5,11.263694763183594,15.628288269042969,72.1,5.794391632080078,37.07630376615077,,,,
2025-11-02 01:52:29,12.8,13.54055404663086,15.628288269042969,86.6,5.794513702392578,37.07708485177192,,,,
2025-11-02 01:52:31,16.5,11.335960388183594,15.628288269042969,72.5,5.804595947265625,37.14159764229305,,,,
2025-11-02 01:53:09,12.7,13.526260375976562,15.628288269042969,86.5,5.804706573486328,37.142305501137216,,,,
2025-11-02 01:53:11,17.8,11.29229736328125,15.628288269042969,72.3,5.814765930175781,37.206671838104384,,,,
2025-11-02 01:53:50,12.6,13.501216888427734,15.628288269042969,86.4,5.81494140625,37.207794648684775,,,,
2025-11-02 01:53:52,16.1,11.31329345703125,15.628288269042969,72.4,5.774318695068359,36.94786399932436,,,,
2025-11-02 01:54:31,12.9,13.507614135742188,15.628288269042969,86.4,5.774448394775391,36.948693902796826,,,,
2025-11-02 01:54:33,16.6,11.367988586425781,15.628288269042969,72.7,5.784496307373047,37.01298701298701,,,,
2025-11-02 01:55:11,13.0,13.530757904052734,15.628288269042969,86.6,5.784603118896484,37.01367046290551,,,,
2025-11-02 01:55:13,16.0,11.321151733398438,15.628288269042969,72.4,5.794651031494141,37.0779635730957,,,,
2025-11-02 01:55:52,12.8,13.518142700195312,15.628288269042969,86.5,5.794795989990234,37.07889111227081,,,,
2025-11-02 01:55:53,16.9,11.380287170410156,15.628288269042969,72.8,5.804843902587891,37.143184222460995,,,,
2025-11-02 01:56:32,12.2,13.602691650390625,15.628288269042969,87.0,5.804950714111328,37.14386767237949,,,,
2025-11-02 01:56:33,16.8,11.293476104736328,15.628288269042969,72.3,5.769371032714844,36.91620562274248,,,,
2025-11-02 01:57:12,12.5,13.507572174072266,15.628288269042969,86.4,5.769489288330078,36.91696229943796,,,,
