,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,65.0
bcc,0.0,0.0,0.0,103.0
bkl,0.0,0.0,0.0,220.0
df,0.0,0.0,0.0,23.0
mel,0.0,0.0,0.0,223.0
nv,0.0,0.0,0.0,1341.0
vasc,0.014471057884231538,1.0,0.02852926709296606,29.0
accuracy,0.014471057884231538,0.014471057884231538,0.014471057884231538,0.014471057884231538
macro avg,0.002067293983461648,0.14285714285714285,0.004075609584709437,2004.0
weighted avg,0.00020941151628877975,0.014471057884231538,0.0004128486754970138,2004.0
