corruption,level,acc,nll,ece,brier,n
gauss,0.1,0.987603305785124,0.05482601746916771,0.007024306069070008,0.023981397971510887,968
gauss,0.2,0.8409090909090909,0.6614537239074707,0.10635852014820557,0.2693355977535248,968
gauss,0.3,0.30785123966942146,5.767759323120117,0.6703943341271952,1.3466304540634155,968
jpeg,90,0.9989669421487604,0.006896814797073603,0.004135082781431265,0.0027974590193480253,968
jpeg,70,0.9979338842975206,0.007736543193459511,0.005434826423879713,0.003346250858157873,968
jpeg,50,0.9979338842975206,0.008935230784118176,0.004006111295893788,0.0038805166259407997,968
contrast,0.8,0.996900826446281,0.00909341499209404,0.005948877565970179,0.004024304449558258,968
contrast,0.6,0.9927685950413223,0.019780253991484642,0.01041068411723245,0.010750300250947475,968
