class,precision,recall,f1,support
CNV,0.9777029869583509,0.9327090301003345,0.9546761604819938,7475
DME,0.9362637362637363,0.9188955996548749,0.9274983670803396,2318
DRUSEN,0.7992565055762082,0.8555997725980671,0.8264689730917079,1759
NORMAL,0.9455231930960086,0.9924514059256464,0.9684191142620385,5299
