model,seed,accuracy,nll,brier,ece_uniform,ece_adaptive
distilled_efficientnetb0_ham10000,seed_0,0.810379241516966,381.7317199707031,0.37856045365333557,0.18940700349693526,0.18940697173158566
distilled_mobilenetv2_ham10000,seed_0,0.7839321357285429,484.9217834472656,0.4321189224720001,0.21605920791625977,0.21605925189104386
distilled_resnet18_ham10000,seed_0,0.8517964071856288,312.1219177246094,0.2963111996650696,0.14817702770233154,0.14817702373166286
